rewardsProductPartnerId,rewardsGroup,pointsEarned,pointsPayerId,pointsNotAwardedReason,reward_id
,,840.0,,,532
,,840.0,,,533
,,840.0,,,534
,,5.0,,,535
,,840.0,,,536
,,850.0,,,537
,,840.0,,,538
,,840.0,,,539
,,840.0,,,540
,,840.0,,,541
,,940.0,,,542
,,840.0,,,543
,,4944.7,,,544
,,0,,,545
,,840.0,,,546
,,5.0,,,547
,,840.0,,,548
,,840.0,,,549
,,35.0,,,550
,,375.0,,,551
,,5.0,,,552
,,5,,,553
,,750.0,,,554
,,100.0,,,555
,,0,,,556
,,1499.5,,,557
,,0,,,558
,,5.0,,,559
,,0,,,560
,,840.0,,,561
,,250.0,,,562
,,25.0,,,563
,,5,,,564
,,5.0,,,565
,,100.0,,,566
,,3250.0,,,567
,,35.0,,,568
,,5.0,,,569
,,5.0,,,570
,,5,,,571
,,5.0,,,572
,,5.0,,,573
,,5.0,,,574
,,250.0,,,575
,,5.0,,,576
,,50.0,,,577
,,0,,,578
,,5.0,,,579
,,0,,,580
,,0,,,581
,,0,,,582
,,0,,,583
,,0,,,584
,,0,,,585
,,0,,,586
,,0,,,587
,,0,,,588
,,0,,,589
,,0,,,590
,,0,,,591
,,0,,,592
,,0,,,593
,,0,,,594
,,0,,,595
,,0,,,596
,,0,,,597
,,0,,,598
,,0,,,599
,,0,,,600
,,0,,,601
,,0,,,602
,,0,,,603
,,0,,,604
,,0,,,605
,,0,,,606
,,0,,,607
,,0,,,608
,,0,,,609
,,0,,,610
,,0,,,611
,,0,,,612
,,0,,,613
,,0,,,614
,,0,,,615
,,0,,,616
,,0,,,617
,,0,,,618
,,0,,,619
,,0,,,620
,,0,,,621
,,0,,,622
,,0,,,623
,,0,,,624
,,0,,,625
,,0,,,626
,,0,,,627
,,0,,,628
,,0,,,629
,,0,,,630
,,0,,,631
,,0,,,632
,,0,,,633
,,0,,,634
,,0,,,635
,,0,,,636
,,0,,,637
,,0,,,638
,,0,,,639
,,5.0,,,640
,,0,,,641
,,209.9,,,642
,,0,,,643
,,209.8,,,644
,,500.0,,,645
,,0,,,646
,,0,,,647
,,0,,,648
,,25.0,,,649
,,250.0,,,650
,,750.0,,,651
,,5.0,,,652
,,0,,,653
,,0,,,654
,,250.0,,,655
,,0,,,656
,,0,,,657
,,0,,,658
,,5.0,,,659
,,150.0,,,660
,,0,,,661
,,0,,,662
,,35.0,,,663
,,5.0,,,664
,,210.0,,,665
,,0,,,666
,,25.0,,,667
,,209.5,,,668
,,0,,,669
,,750.0,,,670
,,0,,,671
,,0,,,672
,,100.0,,,673
,,0,,,674
,,0,,,675
,,5.0,,,676
,,25.0,,,677
,,0,,,678
,,0,,,679
,,5.0,,,680
,,0,,,681
,,0,,,682
,,750.0,,,683
,,5.0,,,684
,,0,,,685
,,5.0,,,686
,,0,,,687
,,5,,,688
,,25.0,,,689
,,0,,,690
,,500.0,,,691
,,5.0,,,692
,,0,,,693
,,0,,,694
,,0,,,695
,,0,,,696
,,0,,,697
,,5.0,,,698
,,750.0,,,699
,,0,,,700
,,0,,,701
,,0,,,702
,,0,,,703
,,0,,,704
,,0,,,705
,,0,,,706
,,0,,,707
,,0,,,708
,,0,,,709
,,0,,,710
,,0,,,711
,,0,,,712
,,500.0,,,713
,,25.0,,,714
,,0,,,715
,,5.0,,,716
,,0,,,717
,,0,,,718
,,0,,,719
,,0,,,720
,,0,,,721
,,0,,,722
,,0,,,723
,,0,,,724
,,0,,,725
,,50.6,,,726
,,0,,,727
,,0,,,728
,,0,,,729
,,0,,,730
,,0,,,731
,,0,,,732
,,0,,,733
,,0,,,734
,,0,,,735
,,0,,,736
,,5.0,,,737
,,0,,,738
,,0,,,739
,,0,,,740
,,0,,,741
,,1750.0,,,742
,,0,,,743
,,0,,,744
,,0,,,745
,,650.0,,,746
,,0,,,747
,,0,,,748
,,0,,,749
,,0,,,750
,,0,,,751
,,100.0,,,752
,,0,,,753
,,0,,,754
,,0,,,755
,,5.0,,,756
,,0,,,757
,,0,,,758
,,0,,,759
,,0,,,760
,,0,,,761
,,0,,,762
,,0,,,763
,,0,,,764
,,0,,,765
,,0,,,766
,,0,,,767
,,0,,,768
,,0,,,769
,,0,,,770
,,0,,,771
,,0,,,772
,,0,,,773
,,0,,,774
,,0,,,775
,,0,,,776
,,0,,,777
,,0,,,778
,,0,,,779
,,0,,,780
,,0,,,781
,,0,,,782
,,0,,,783
,,0,,,784
,,0,,,785
,,0,,,786
,,0,,,787
,,0,,,788
,,0,,,789
,,0,,,790
,,0,,,791
,,0,,,792
,,0,,,793
,,50.6,,,794
,,0,,,795
,,0,,,796
,,0,,,797
,,0,,,798
,,0,,,799
,,0,,,800
,,0,,,801
,,0,,,802
,,0,,,803
,,50.6,,,804
,,0,,,805
,,0,,,806
,,0,,,807
,,0,,,808
,,0,,,809
,,0,,,810
,,0,,,811
,,0,,,812
,,0,,,813
,,0,,,814
,,0,,,815
,,0,,,816
,,0,,,817
,,0,,,818
,,0,,,819
,,0,,,820
,,0,,,821
,,0,,,822
,,0,,,823
,,0,,,824
,,0,,,825
,,0,,,826
,,0,,,827
,,0,,,828
,,0,,,829
,,0,,,830
,,0,,,831
,,0,,,832
,,0,,,833
,,0,,,834
,,0,,,835
,,0,,,836
,,0,,,837
,,0,,,838
,,0,,,839
,,0,,,840
,,0,,,841
,,0,,,842
,,0,,,843
,,0,,,844
,,0,,,845
,,0,,,846
,,0,,,847
,,0,,,848
,,0,,,849
,,0,,,850
,,0,,,851
,,0,,,852
,,0,,,853
,,0,,,854
,,0,,,855
,,0,,,856
,,0,,,857
,,0,,,858
,,0,,,859
,,0,,,860
,,0,,,861
,,0,,,862
,,0,,,863
,,0,,,864
,,0,,,865
,,0,,,866
,,0,,,867
,,0,,,868
,,0,,,869
,,0,,,870
,,0,,,871
,,25.0,,,872
,,0,,,873
,,0,,,874
,,0,,,875
,,0,,,876
,,0,,,877
,,0,,,878
,,0,,,879
,,0,,,880
,,0,,,881
,,0,,,882
,,0,,,883
,,0,,,884
,,0,,,885
,,0,,,886
,,0,,,887
,,0,,,888
,,0,,,889
,,0,,,890
,,0,,,891
,,0,,,892
,,0,,,893
,,0,,,894
,,0,,,895
,,5.0,,,896
,,0,,,897
,,600.0,,,898
,,0,,,899
,,0,,,900
,,0,,,901
,,0,,,902
,,0,,,903
,,0,,,904
,,0,,,905
,,0,,,906
,,0,,,907
,,0,,,908
,,0,,,909
,,0,,,910
,,0,,,911
,,0,,,912
,,250.0,,,913
,,0,,,914
,,0,,,915
,,0,,,916
,,0,,,917
,,789.2,,,918
,,0,,,919
,,0,,,920
,,0,,,921
,,500.0,,,922
,,0,,,923
,,0,,,924
,,0,,,925
,,250.0,,,926
,,0,,,927
,,5.0,,,928
,,5.0,,,929
,,0,,,930
,,0,,,931
,,0,,,932
,,0,,,933
,,0,,,934
,,0,,,935
,,0,,,936
,,5.0,,,937
,,5.0,,,938
,,0,,,939
,,0,,,940
,,0,,,941
,,0,,,942
,,0,,,943
,,0,,,944
,,0,,,945
,,0,,,946
,,0,,,947
,,5.0,,,948
,,500.0,,,949
,,0,,,950
,,0,,,951
,,25.0,,,952
,,0,,,953
,,0,,,954
,,0,,,955
,,5.0,,,956
,,3500.0,,,957
,,0,,,958
,,0,,,959
,,0,,,960
,,0,,,961
,,0,,,962
,,0,,,963
,,0,,,964
,,5.0,,,965
,,0,,,966
,,5.0,,,967
,,150.0,,,968
,,0,,,969
,,0,,,970
,,0,,,971
,,5.0,,,972
,,0,,,973
,,0,,,974
,,0,,,975
,,0,,,976
,,0,,,977
,,0,,,978
,,0,,,979
,,0,,,980
,,0,,,981
,,0,,,982
,,0,,,983
,,0,,,984
,,35.0,,,985
,,100.0,,,986
,,0,,,987
,,0,,,988
,,0,,,989
,,0,,,990
,,850.0,,,991
,,0,,,992
,,0,,,993
,,0,,,994
,,0,,,995
,,0,,,996
,,0,,,997
,,0,,,998
,,0,,,999
,,25.0,,,1000
,,0,,,1001
,,0,,,1002
,,0,,,1003
,,0,,,1004
,,0,,,1005
,,0,,,1006
,,0,,,1007
,,0,,,1008
,,0,,,1009
,,25.0,,,1010
,,0,,,1011
,,0,,,1012
,,0,,,1013
,,0,,,1014
,,0,,,1015
,,25.0,,,1016
,,0,,,1017
,,0,,,1018
,,0,,,1019
,,0,,,1020
,,0,,,1021
,,25.0,,,1022
,,0,,,1023
,,0,,,1024
,,0,,,1025
,,0,,,1026
,,0,,,1027
,,0,,,1028
,,0,,,1029
,,25.0,,,1030
,,25.0,,,1031
,,0,,,1032
,,25.0,,,1033
,,0,,,1034
,,0,,,1035
,,25.0,,,1036
,,0,,,1037
,,0,,,1038
,,25.0,,,1039
,,0,,,1040
,,25.0,,,1041
,,0,,,1042
,,0,,,1043
,,0,,,1044
,,0,,,1045
,,0,,,1046
,,0,,,1047
,,25.0,,,1048
,,25.0,,,1049
,,0,,,1050
,,25.0,,,1051
,,0,,,1052
,,25.0,,,1053
,,0,,,1054
,,0,,,1055
,,25.0,,,1056
,,0,,,1057
,,0,,,1058
,,0,,,1059
,,25.0,,,1060
,,0,,,1061
,,0,,,1062
,,0,,,1063
,,25.0,,,1064
,,25.0,,,1065
,,0,,,1066
,,0,,,1067
,,0,,,1068
,,25.0,,,1069
,,25.0,,,1070
,,25.0,,,1071
,,25.0,,,1072
,,0,,,1073
,,0,,,1074
,,25.0,,,1075
,,25.0,,,1076
,,25.0,,,1077
,,25.0,,,1078
,,0,,,1079
,,0,,,1080
,,25.0,,,1081
,,0,,,1082
,,25.0,,,1083
,,0,,,1084
,,0,,,1085
,,0,,,1086
,,0,,,1087
,,0,,,1088
,,25.0,,,1089
,,25.0,,,1090
,,0,,,1091
,,0,,,1092
,,25.0,,,1093
,,0,,,1094
,,25.0,,,1095
,,0,,,1096
,,25.0,,,1097
,,0,,,1098
,,0,,,1099
,,25.0,,,1100
,,25.0,,,1101
,,25.0,,,1102
,,0,,,1103
,,25.0,,,1104
,,0,,,1105
,,0,,,1106
,,25.0,,,1107
,,0,,,1108
,,0,,,1109
,,0,,,1110
,,0,,,1111
,,0,,,1112
,,25.0,,,1113
,,25.0,,,1114
,,25.0,,,1115
,,0,,,1116
,,0,,,1117
,,25.0,,,1118
,,0,,,1119
,,0,,,1120
,,0,,,1121
5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,0,5332f5fbe4b03c9a25efd0ba,Action not allowed for user and CPG,1122
,,0,,,1123
,,0,,,1124
,,0,,,1125
,,0,,,1126
5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,0,5332f5fbe4b03c9a25efd0ba,Action not allowed for user and CPG,1127
,,0,,,1128
5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,0,5332f5f3e4b03c9a25efd0ae,Action not allowed for user and CPG,1129
,,0,,,1130
,,0,,,1131
,,0,,,1132
5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,0,5332f5f3e4b03c9a25efd0ae,Action not allowed for user and CPG,1133
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1134
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1135
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1136
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1137
5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,870.0,5332f709e4b03c9a25efd0f1,,1138
